AdjID,Date,Description,TaxTreatment,AccountingAmount_AED,AdjustmentDirection
CT-9341,2025-04-07,Interest Income - Related Party,Related Party Adj.,43650.86,Deduct
CT-9342,2025-04-08,Exempt Dividend Income,Exempt Income,14554.77,Add
CT-9343,2025-04-09,Entertainment Expense,Disallowed 50%,29903.23,Add
CT-9344,2025-04-11,Depreciation - Accounting,Add Back,15795.03,Add
CT-9345,2025-04-12,Bad Debts Written Off (realized),Deduct,58837.03,Deduct
CT-9346,2025-04-16,Depreciation - Accounting,Add Back,48436.66,Add
CT-9347,2025-04-28,Exempt Dividend Income,Exempt Income,40737.8,Add
CT-9348,2025-04-26,Depreciation - Tax (per schedule),Deduct,3024.64,Deduct
CT-9349,2025-04-25,Depreciation - Tax (per schedule),Deduct,45967.32,Deduct
CT-9350,2025-04-14,Related Party Management Fee,Transfer Pricing Adj.,47136.15,Add
CT-9351,2025-04-15,Entertainment Expense,Disallowed 50%,13851.01,Add
CT-9352,2025-04-28,Entertainment Expense,Disallowed 50%,49792.24,Add
CT-9353,2025-04-14,Exempt Dividend Income,Exempt Income,32779.68,Add
CT-9354,2025-04-03,Bad Debts Written Off (realized),Deduct,5520.76,Deduct
CT-9355,2025-04-23,Related Party Management Fee,Transfer Pricing Adj.,57768.21,Add
CT-9356,2025-04-04,Exempt Dividend Income,Exempt Income,46733.3,Add
CT-9357,2025-04-08,Fines & Penalties,Fully Disallowed,41381.0,Add
CT-9358,2025-04-04,UAE Government Grant Income,Exempt Income,28041.93,Add
CT-9359,2025-04-05,Donations - Non Qualifying,Fully Disallowed,39404.03,Add
CT-9360,2025-04-09,Donations - Non Qualifying,Fully Disallowed,34216.95,Add
CT-9361,2025-04-19,Depreciation - Tax (per schedule),Deduct,41281.74,Deduct
CT-9362,2025-04-22,Exempt Dividend Income,Exempt Income,65698.61,Add
CT-9363,2025-04-07,Client Entertainment,Disallowed 50%,48042.2,Add
CT-9364,2025-04-17,Donations - Non Qualifying,Fully Disallowed,34632.25,Add
CT-9365,2025-04-23,Bad Debts Written Off (realized),Deduct,2097.27,Deduct
CT-9366,2025-04-01,Exempt Dividend Income,Exempt Income,53270.35,Add
CT-9367,2025-04-25,Bad Debts Written Off (realized),Deduct,39988.84,Deduct
CT-9368,2025-04-25,Entertainment Expense,Disallowed 50%,43259.91,Add
CT-9369,2025-04-12,Provision for Doubtful Debts (unrealized),Add Back,57693.98,Add
CT-9370,2025-04-27,Client Entertainment,Disallowed 50%,60448.77,Add
CT-9371,2025-04-16,Provision for Doubtful Debts (unrealized),Add Back,19277.32,Add
CT-9372,2025-04-17,Entertainment Expense,Disallowed 50%,65713.59,Add
CT-9373,2025-05-10,Exempt Dividend Income,Exempt Income,46768.57,Add
CT-9374,2025-05-09,Bad Debts Written Off (realized),Deduct,36805.39,Deduct
CT-9375,2025-05-26,Exempt Dividend Income,Exempt Income,65937.52,Add
CT-9376,2025-05-17,Entertainment Expense,Disallowed 50%,16661.87,Add
CT-9377,2025-05-14,Depreciation - Tax (per schedule),Deduct,32252.27,Deduct
CT-9378,2025-05-23,Depreciation - Tax (per schedule),Deduct,45385.62,Deduct
CT-9379,2025-05-10,Related Party Management Fee,Transfer Pricing Adj.,1981.38,Add
CT-9380,2025-05-16,Depreciation - Accounting,Add Back,42742.71,Add
CT-9381,2025-05-20,Fines & Penalties,Fully Disallowed,35685.84,Add
CT-9382,2025-05-28,Entertainment Expense,Disallowed 50%,14077.96,Add
CT-9383,2025-05-27,Bad Debts Written Off (realized),Deduct,38346.39,Deduct
CT-9384,2025-05-22,Exempt Dividend Income,Exempt Income,17783.07,Add
CT-9385,2025-05-09,Provision for Doubtful Debts (unrealized),Add Back,54938.64,Add
CT-9386,2025-05-03,Donations - Non Qualifying,Fully Disallowed,50667.25,Add
CT-9387,2025-05-17,Provision for Doubtful Debts (unrealized),Add Back,34247.78,Add
CT-9388,2025-05-17,Depreciation - Tax (per schedule),Deduct,51116.49,Deduct
CT-9389,2025-05-09,Depreciation - Accounting,Add Back,64552.99,Add
CT-9390,2025-05-22,Entertainment Expense,Disallowed 50%,38129.92,Add
CT-9391,2025-05-24,Interest Income - Related Party,Related Party Adj.,61416.5,Deduct
CT-9392,2025-05-07,Interest Income - Related Party,Related Party Adj.,15838.2,Deduct
CT-9393,2025-05-02,Fines & Penalties,Fully Disallowed,66119.23,Add
CT-9394,2025-05-12,Bad Debts Written Off (realized),Deduct,43151.17,Deduct
CT-9395,2025-05-23,Provision for Doubtful Debts (unrealized),Add Back,1837.75,Add
CT-9396,2025-05-20,Depreciation - Tax (per schedule),Deduct,11775.25,Deduct
CT-9397,2025-05-04,Interest Income - Related Party,Related Party Adj.,53452.32,Deduct
CT-9398,2025-05-07,UAE Government Grant Income,Exempt Income,25546.6,Add
CT-9399,2025-05-05,Related Party Management Fee,Transfer Pricing Adj.,4011.32,Add
CT-9400,2025-05-22,Interest Income - Related Party,Related Party Adj.,64514.14,Deduct
CT-9401,2025-05-07,Interest Income - Related Party,Related Party Adj.,28246.66,Deduct
CT-9402,2025-05-20,Donations - Non Qualifying,Fully Disallowed,2918.5,Add
CT-9403,2025-05-12,Fines & Penalties,Fully Disallowed,62031.92,Add
CT-9404,2025-05-01,Provision for Doubtful Debts (unrealized),Add Back,24949.51,Add
CT-9405,2025-05-20,Donations - Non Qualifying,Fully Disallowed,3451.88,Add
CT-9406,2025-05-26,Related Party Management Fee,Transfer Pricing Adj.,40945.71,Add
CT-9407,2025-05-26,Depreciation - Tax (per schedule),Deduct,19799.37,Deduct
CT-9408,2025-05-22,Entertainment Expense,Disallowed 50%,54986.65,Add
CT-9409,2025-05-06,Bad Debts Written Off (realized),Deduct,15363.94,Deduct
CT-9410,2025-05-28,Entertainment Expense,Disallowed 50%,9312.09,Add
CT-9411,2025-05-07,Related Party Management Fee,Transfer Pricing Adj.,42015.65,Add
CT-9412,2025-05-11,Client Entertainment,Disallowed 50%,38635.34,Add
CT-9413,2025-05-05,Entertainment Expense,Disallowed 50%,2962.44,Add
CT-9414,2025-05-18,Donations - Non Qualifying,Fully Disallowed,6712.67,Add
CT-9415,2025-05-25,Fines & Penalties,Fully Disallowed,48035.59,Add
CT-9416,2025-05-17,UAE Government Grant Income,Exempt Income,58312.51,Add
CT-9417,2025-05-02,Fines & Penalties,Fully Disallowed,55215.22,Add
CT-9418,2025-05-04,Depreciation - Accounting,Add Back,36634.98,Add
CT-9419,2025-05-08,UAE Government Grant Income,Exempt Income,3663.42,Add
CT-9420,2025-05-12,Entertainment Expense,Disallowed 50%,61984.64,Add
CT-9421,2025-05-23,Depreciation - Accounting,Add Back,36790.66,Add
CT-9422,2025-05-17,Bad Debts Written Off (realized),Deduct,15964.72,Deduct
CT-9423,2025-05-27,Depreciation - Tax (per schedule),Deduct,30990.42,Deduct
CT-9424,2025-05-07,Bad Debts Written Off (realized),Deduct,41400.2,Deduct
CT-9425,2025-05-24,Interest Income - Related Party,Related Party Adj.,55454.68,Deduct
CT-9426,2025-05-23,Fines & Penalties,Fully Disallowed,19514.53,Add
CT-9427,2025-05-11,Depreciation - Tax (per schedule),Deduct,43932.64,Deduct
CT-9428,2025-05-04,Donations - Non Qualifying,Fully Disallowed,36496.74,Add
CT-9429,2025-05-18,Depreciation - Tax (per schedule),Deduct,58558.42,Deduct
CT-9430,2025-05-28,Fines & Penalties,Fully Disallowed,33820.3,Add
CT-9431,2025-05-17,Related Party Management Fee,Transfer Pricing Adj.,13988.29,Add
CT-9432,2025-05-09,Fines & Penalties,Fully Disallowed,30533.29,Add
CT-9433,2025-05-28,Fines & Penalties,Fully Disallowed,40527.62,Add
CT-9434,2025-05-06,Client Entertainment,Disallowed 50%,35045.48,Add
CT-9435,2025-05-15,Depreciation - Tax (per schedule),Deduct,25781.12,Deduct
CT-9436,2025-05-17,Related Party Management Fee,Transfer Pricing Adj.,29350.38,Add
CT-9437,2025-05-03,Exempt Dividend Income,Exempt Income,45481.99,Add
CT-9438,2025-05-19,Depreciation - Tax (per schedule),Deduct,61700.04,Deduct
CT-9439,2025-05-17,Entertainment Expense,Disallowed 50%,17704.61,Add
CT-9440,2025-05-24,Client Entertainment,Disallowed 50%,39749.97,Add
CT-9441,2025-05-20,UAE Government Grant Income,Exempt Income,58184.06,Add
CT-9442,2025-05-09,Depreciation - Tax (per schedule),Deduct,57690.24,Deduct
CT-9443,2025-05-13,UAE Government Grant Income,Exempt Income,34870.23,Add
CT-9444,2025-05-11,Client Entertainment,Disallowed 50%,46401.27,Add
CT-9445,2025-05-25,Entertainment Expense,Disallowed 50%,56333.05,Add
CT-9446,2025-05-10,Depreciation - Accounting,Add Back,35581.17,Add
CT-9447,2025-05-23,Interest Income - Related Party,Related Party Adj.,50673.49,Deduct
CT-9448,2025-05-17,Depreciation - Tax (per schedule),Deduct,50516.77,Deduct
CT-9449,2025-05-09,Interest Income - Related Party,Related Party Adj.,10559.31,Deduct
CT-9450,2025-05-10,Depreciation - Accounting,Add Back,28580.26,Add
CT-9451,2025-05-11,Entertainment Expense,Disallowed 50%,17282.25,Add
CT-9452,2025-05-28,Entertainment Expense,Disallowed 50%,31000.71,Add
CT-9453,2025-05-12,Provision for Doubtful Debts (unrealized),Add Back,41111.37,Add
CT-9454,2025-05-20,Depreciation - Tax (per schedule),Deduct,53626.31,Deduct
CT-9455,2025-05-07,UAE Government Grant Income,Exempt Income,54694.9,Add
CT-9456,2025-05-17,Depreciation - Tax (per schedule),Deduct,58752.69,Deduct
CT-9457,2025-05-02,Exempt Dividend Income,Exempt Income,6673.9,Add
CT-9458,2025-05-05,Exempt Dividend Income,Exempt Income,51816.05,Add
CT-9459,2025-05-15,Related Party Management Fee,Transfer Pricing Adj.,11644.14,Add
CT-9460,2025-06-25,Depreciation - Tax (per schedule),Deduct,21451.67,Deduct
CT-9461,2025-06-16,Bad Debts Written Off (realized),Deduct,43234.43,Deduct
CT-9462,2025-06-28,Depreciation - Accounting,Add Back,26244.91,Add
CT-9463,2025-06-23,Fines & Penalties,Fully Disallowed,26100.83,Add
CT-9464,2025-06-17,Client Entertainment,Disallowed 50%,9891.7,Add
CT-9465,2025-06-10,Bad Debts Written Off (realized),Deduct,11367.59,Deduct
CT-9466,2025-06-26,UAE Government Grant Income,Exempt Income,40521.84,Add
CT-9467,2025-06-16,Donations - Non Qualifying,Fully Disallowed,33588.08,Add
CT-9468,2025-06-16,Interest Income - Related Party,Related Party Adj.,4062.74,Deduct
CT-9469,2025-06-28,Entertainment Expense,Disallowed 50%,48761.21,Add
CT-9470,2025-06-20,Depreciation - Tax (per schedule),Deduct,60865.04,Deduct
CT-9471,2025-06-10,Depreciation - Accounting,Add Back,37903.38,Add
CT-9472,2025-06-14,Interest Income - Related Party,Related Party Adj.,47251.27,Deduct
CT-9473,2025-06-24,Bad Debts Written Off (realized),Deduct,61109.81,Deduct
CT-9474,2025-06-05,Client Entertainment,Disallowed 50%,30519.06,Add
CT-9475,2025-06-11,Donations - Non Qualifying,Fully Disallowed,46570.0,Add
CT-9476,2025-06-16,Provision for Doubtful Debts (unrealized),Add Back,45322.9,Add
CT-9477,2025-06-12,Client Entertainment,Disallowed 50%,11743.53,Add
CT-9478,2025-06-01,Interest Income - Related Party,Related Party Adj.,16196.29,Deduct
CT-9479,2025-06-14,Fines & Penalties,Fully Disallowed,53138.8,Add
CT-9480,2025-06-24,Bad Debts Written Off (realized),Deduct,19023.24,Deduct
CT-9481,2025-06-04,Entertainment Expense,Disallowed 50%,26477.67,Add
CT-9482,2025-06-05,Fines & Penalties,Fully Disallowed,62099.23,Add
CT-9483,2025-06-16,Bad Debts Written Off (realized),Deduct,11310.43,Deduct
CT-9484,2025-06-26,Provision for Doubtful Debts (unrealized),Add Back,25469.72,Add
CT-9485,2025-06-27,Client Entertainment,Disallowed 50%,64137.27,Add
CT-9486,2025-06-23,Depreciation - Tax (per schedule),Deduct,64570.97,Deduct
CT-9487,2025-06-04,Related Party Management Fee,Transfer Pricing Adj.,14930.22,Add
CT-9488,2025-06-21,Bad Debts Written Off (realized),Deduct,61775.74,Deduct
CT-9489,2025-06-10,Entertainment Expense,Disallowed 50%,5216.16,Add
CT-9490,2025-06-08,Depreciation - Tax (per schedule),Deduct,23869.93,Deduct
CT-9491,2025-06-20,Depreciation - Accounting,Add Back,24987.28,Add
CT-9492,2025-06-12,Depreciation - Tax (per schedule),Deduct,60534.06,Deduct
CT-9493,2025-06-04,Provision for Doubtful Debts (unrealized),Add Back,54794.44,Add
CT-9494,2025-06-22,Provision for Doubtful Debts (unrealized),Add Back,67474.83,Add
CT-9495,2025-06-26,Donations - Non Qualifying,Fully Disallowed,15035.23,Add
CT-9496,2025-06-28,Related Party Management Fee,Transfer Pricing Adj.,33663.01,Add
CT-9497,2025-06-02,Provision for Doubtful Debts (unrealized),Add Back,29081.62,Add
CT-9498,2025-06-20,Exempt Dividend Income,Exempt Income,56054.75,Add
CT-9499,2025-06-10,Depreciation - Tax (per schedule),Deduct,51948.73,Deduct
CT-9500,2025-06-01,UAE Government Grant Income,Exempt Income,40105.19,Add
CT-9501,2025-06-23,Exempt Dividend Income,Exempt Income,29255.45,Add
CT-9502,2025-06-03,Entertainment Expense,Disallowed 50%,21031.26,Add
CT-9503,2025-06-11,Bad Debts Written Off (realized),Deduct,7404.83,Deduct
CT-9504,2025-06-11,Related Party Management Fee,Transfer Pricing Adj.,32858.02,Add
CT-9505,2025-06-23,Fines & Penalties,Fully Disallowed,7717.07,Add
CT-9506,2025-06-08,Interest Income - Related Party,Related Party Adj.,31876.64,Deduct
CT-9507,2025-06-13,Donations - Non Qualifying,Fully Disallowed,27499.44,Add
CT-9508,2025-06-20,Entertainment Expense,Disallowed 50%,53266.02,Add
CT-9509,2025-06-28,Related Party Management Fee,Transfer Pricing Adj.,65707.52,Add
CT-9510,2025-06-14,Client Entertainment,Disallowed 50%,45937.27,Add
CT-9511,2025-06-17,Entertainment Expense,Disallowed 50%,36313.56,Add
CT-9512,2025-06-21,Exempt Dividend Income,Exempt Income,37830.39,Add
CT-9513,2025-06-03,Related Party Management Fee,Transfer Pricing Adj.,3125.51,Add
CT-9514,2025-06-26,Entertainment Expense,Disallowed 50%,26008.83,Add
CT-9515,2025-06-03,Exempt Dividend Income,Exempt Income,14594.09,Add
CT-9516,2025-06-27,Client Entertainment,Disallowed 50%,8683.79,Add
CT-9517,2025-06-06,Donations - Non Qualifying,Fully Disallowed,13018.57,Add
CT-9518,2025-06-02,Provision for Doubtful Debts (unrealized),Add Back,20454.86,Add
CT-9519,2025-06-22,Interest Income - Related Party,Related Party Adj.,48592.8,Deduct
CT-9520,2025-06-23,Related Party Management Fee,Transfer Pricing Adj.,50282.25,Add
CT-9521,2025-06-14,Donations - Non Qualifying,Fully Disallowed,64038.66,Add
CT-9522,2025-06-02,Donations - Non Qualifying,Fully Disallowed,34734.99,Add
CT-9523,2025-06-22,Fines & Penalties,Fully Disallowed,61991.53,Add
CT-9524,2025-06-18,Related Party Management Fee,Transfer Pricing Adj.,60650.0,Add
CT-9525,2025-06-17,Exempt Dividend Income,Exempt Income,43812.72,Add
CT-9526,2025-06-03,Fines & Penalties,Fully Disallowed,64251.86,Add
CT-9527,2025-06-07,Exempt Dividend Income,Exempt Income,36897.67,Add
CT-9528,2025-06-15,Exempt Dividend Income,Exempt Income,21260.75,Add
CT-9529,2025-06-25,Exempt Dividend Income,Exempt Income,8106.09,Add
CT-9530,2025-06-14,Provision for Doubtful Debts (unrealized),Add Back,52899.5,Add
CT-9531,2025-06-09,Provision for Doubtful Debts (unrealized),Add Back,18022.98,Add
CT-9532,2025-06-18,Fines & Penalties,Fully Disallowed,50653.36,Add
CT-9533,2025-06-23,Donations - Non Qualifying,Fully Disallowed,21382.01,Add
CT-9534,2025-06-06,Client Entertainment,Disallowed 50%,13842.01,Add
CT-9535,2025-06-14,UAE Government Grant Income,Exempt Income,52434.0,Add
CT-9536,2025-06-05,Depreciation - Accounting,Add Back,33468.85,Add
CT-9537,2025-06-10,UAE Government Grant Income,Exempt Income,55775.44,Add
CT-9538,2025-06-09,Depreciation - Accounting,Add Back,57907.13,Add
CT-9539,2025-06-07,Bad Debts Written Off (realized),Deduct,44608.24,Deduct
CT-9540,2025-06-25,Related Party Management Fee,Transfer Pricing Adj.,52371.42,Add
CT-9541,2025-06-14,Bad Debts Written Off (realized),Deduct,41351.52,Deduct
CT-9542,2025-06-20,Provision for Doubtful Debts (unrealized),Add Back,17434.59,Add
CT-9543,2025-06-03,Related Party Management Fee,Transfer Pricing Adj.,23262.91,Add
CT-9544,2025-06-16,Related Party Management Fee,Transfer Pricing Adj.,47588.26,Add
CT-9545,2025-06-10,Bad Debts Written Off (realized),Deduct,56348.46,Deduct
CT-9546,2025-06-06,Depreciation - Accounting,Add Back,42024.03,Add
CT-9547,2025-06-15,Depreciation - Accounting,Add Back,27313.33,Add
CT-9548,2025-06-09,Related Party Management Fee,Transfer Pricing Adj.,7372.75,Add
CT-9549,2025-06-07,Provision for Doubtful Debts (unrealized),Add Back,55727.26,Add
CT-9550,2025-06-11,Interest Income - Related Party,Related Party Adj.,42504.2,Deduct
CT-9551,2025-06-11,Donations - Non Qualifying,Fully Disallowed,7608.12,Add
CT-9552,2025-06-13,Depreciation - Tax (per schedule),Deduct,55237.73,Deduct
CT-9553,2025-06-07,Depreciation - Accounting,Add Back,44964.03,Add
CT-9554,2025-06-05,Interest Income - Related Party,Related Party Adj.,20063.39,Deduct
CT-9555,2025-06-26,Related Party Management Fee,Transfer Pricing Adj.,26693.84,Add
CT-9556,2025-07-19,Entertainment Expense,Disallowed 50%,57818.22,Add
CT-9557,2025-07-19,Provision for Doubtful Debts (unrealized),Add Back,19339.89,Add
CT-9558,2025-07-22,Provision for Doubtful Debts (unrealized),Add Back,27466.45,Add
CT-9559,2025-07-04,Exempt Dividend Income,Exempt Income,5747.78,Add
CT-9560,2025-07-06,Related Party Management Fee,Transfer Pricing Adj.,67092.48,Add
CT-9561,2025-07-26,Fines & Penalties,Fully Disallowed,39839.81,Add
CT-9562,2025-07-25,Fines & Penalties,Fully Disallowed,17659.05,Add
CT-9563,2025-07-21,Related Party Management Fee,Transfer Pricing Adj.,43404.61,Add
CT-9564,2025-07-18,Fines & Penalties,Fully Disallowed,19208.26,Add
CT-9565,2025-07-02,Bad Debts Written Off (realized),Deduct,10635.16,Deduct
CT-9566,2025-07-08,Donations - Non Qualifying,Fully Disallowed,32602.74,Add
CT-9567,2025-07-25,Bad Debts Written Off (realized),Deduct,48515.67,Deduct
CT-9568,2025-07-13,Depreciation - Accounting,Add Back,5040.04,Add
CT-9569,2025-07-07,Related Party Management Fee,Transfer Pricing Adj.,48867.85,Add
CT-9570,2025-07-10,Exempt Dividend Income,Exempt Income,29009.3,Add
CT-9571,2025-07-17,UAE Government Grant Income,Exempt Income,60236.17,Add
CT-9572,2025-07-08,Depreciation - Tax (per schedule),Deduct,34468.86,Deduct
CT-9573,2025-07-26,Entertainment Expense,Disallowed 50%,63228.11,Add
CT-9574,2025-07-13,Depreciation - Tax (per schedule),Deduct,23302.56,Deduct
CT-9575,2025-07-11,Related Party Management Fee,Transfer Pricing Adj.,54705.52,Add
CT-9576,2025-07-22,Related Party Management Fee,Transfer Pricing Adj.,53074.59,Add
CT-9577,2025-07-22,Provision for Doubtful Debts (unrealized),Add Back,44839.79,Add
CT-9578,2025-07-15,Depreciation - Tax (per schedule),Deduct,56407.37,Deduct
CT-9579,2025-07-22,Exempt Dividend Income,Exempt Income,27127.31,Add
CT-9580,2025-07-12,Entertainment Expense,Disallowed 50%,5098.43,Add
CT-9581,2025-07-24,Depreciation - Tax (per schedule),Deduct,5962.41,Deduct
CT-9582,2025-07-21,Fines & Penalties,Fully Disallowed,62451.51,Add
CT-9583,2025-07-14,UAE Government Grant Income,Exempt Income,33352.0,Add
CT-9584,2025-07-20,Depreciation - Accounting,Add Back,44003.32,Add
CT-9585,2025-07-14,Depreciation - Accounting,Add Back,15786.56,Add
CT-9586,2025-07-02,Donations - Non Qualifying,Fully Disallowed,12512.99,Add
CT-9587,2025-07-09,Depreciation - Tax (per schedule),Deduct,28837.28,Deduct
CT-9588,2025-07-09,Provision for Doubtful Debts (unrealized),Add Back,25116.26,Add
CT-9589,2025-07-02,Depreciation - Accounting,Add Back,13308.51,Add
CT-9590,2025-07-22,Depreciation - Accounting,Add Back,11536.55,Add
CT-9591,2025-07-09,Exempt Dividend Income,Exempt Income,30181.04,Add
CT-9592,2025-07-28,Bad Debts Written Off (realized),Deduct,49071.36,Deduct
CT-9593,2025-07-08,Depreciation - Tax (per schedule),Deduct,10629.65,Deduct
CT-9594,2025-07-19,Depreciation - Tax (per schedule),Deduct,7007.67,Deduct
CT-9595,2025-07-17,Client Entertainment,Disallowed 50%,39514.67,Add
CT-9596,2025-07-22,Depreciation - Tax (per schedule),Deduct,46099.55,Deduct
CT-9597,2025-07-14,Entertainment Expense,Disallowed 50%,54997.03,Add
CT-9598,2025-07-08,Depreciation - Tax (per schedule),Deduct,43218.74,Deduct
CT-9599,2025-07-28,Donations - Non Qualifying,Fully Disallowed,22553.82,Add
CT-9600,2025-07-18,Exempt Dividend Income,Exempt Income,22747.05,Add
CT-9601,2025-07-07,Client Entertainment,Disallowed 50%,43122.88,Add
CT-9602,2025-07-23,Fines & Penalties,Fully Disallowed,56891.55,Add
CT-9603,2025-07-16,Interest Income - Related Party,Related Party Adj.,34796.83,Deduct
CT-9604,2025-07-07,Provision for Doubtful Debts (unrealized),Add Back,28815.31,Add
CT-9605,2025-07-22,Fines & Penalties,Fully Disallowed,58304.86,Add
CT-9606,2025-07-02,Interest Income - Related Party,Related Party Adj.,47507.31,Deduct
CT-9607,2025-07-07,Depreciation - Accounting,Add Back,10068.97,Add
CT-9608,2025-07-13,Exempt Dividend Income,Exempt Income,7869.94,Add
CT-9609,2025-07-24,Entertainment Expense,Disallowed 50%,62686.17,Add
CT-9610,2025-07-03,Exempt Dividend Income,Exempt Income,42437.58,Add
CT-9611,2025-07-02,UAE Government Grant Income,Exempt Income,56261.02,Add
CT-9612,2025-07-05,Entertainment Expense,Disallowed 50%,25681.42,Add
CT-9613,2025-07-09,Interest Income - Related Party,Related Party Adj.,6921.18,Deduct
CT-9614,2025-07-27,Depreciation - Tax (per schedule),Deduct,32032.02,Deduct
CT-9615,2025-07-10,Related Party Management Fee,Transfer Pricing Adj.,53270.72,Add
CT-9616,2025-07-14,Interest Income - Related Party,Related Party Adj.,56820.25,Deduct
CT-9617,2025-07-01,Depreciation - Tax (per schedule),Deduct,42605.95,Deduct
CT-9618,2025-07-16,Depreciation - Tax (per schedule),Deduct,57841.77,Deduct
CT-9619,2025-07-12,Entertainment Expense,Disallowed 50%,48268.82,Add
CT-9620,2025-07-04,Interest Income - Related Party,Related Party Adj.,42759.04,Deduct
CT-9621,2025-07-07,Client Entertainment,Disallowed 50%,54817.92,Add
CT-9622,2025-07-17,Depreciation - Tax (per schedule),Deduct,61587.13,Deduct
CT-9623,2025-07-28,Donations - Non Qualifying,Fully Disallowed,4475.69,Add
CT-9624,2025-07-16,Entertainment Expense,Disallowed 50%,43229.49,Add
CT-9625,2025-07-24,UAE Government Grant Income,Exempt Income,61140.52,Add
CT-9626,2025-07-02,Depreciation - Tax (per schedule),Deduct,9712.93,Deduct
CT-9627,2025-07-20,Provision for Doubtful Debts (unrealized),Add Back,6607.91,Add
CT-9628,2025-07-05,Fines & Penalties,Fully Disallowed,61158.66,Add
CT-9629,2025-07-19,Client Entertainment,Disallowed 50%,28196.66,Add
CT-9630,2025-07-26,Bad Debts Written Off (realized),Deduct,20618.8,Deduct
CT-9631,2025-07-04,Donations - Non Qualifying,Fully Disallowed,56236.55,Add
CT-9632,2025-07-08,Depreciation - Accounting,Add Back,67889.78,Add
CT-9633,2025-07-08,Fines & Penalties,Fully Disallowed,4407.86,Add
CT-9634,2025-07-15,Client Entertainment,Disallowed 50%,42037.68,Add
CT-9635,2025-07-03,Depreciation - Accounting,Add Back,18052.56,Add
CT-9636,2025-07-14,Fines & Penalties,Fully Disallowed,29015.56,Add
CT-9637,2025-07-02,Depreciation - Tax (per schedule),Deduct,27976.54,Deduct
CT-9638,2025-07-13,Fines & Penalties,Fully Disallowed,16240.64,Add
CT-9639,2025-07-12,Client Entertainment,Disallowed 50%,61637.82,Add
CT-9640,2025-07-14,Depreciation - Tax (per schedule),Deduct,35427.8,Deduct
CT-9641,2025-07-11,Fines & Penalties,Fully Disallowed,18161.36,Add
CT-9642,2025-07-14,Depreciation - Tax (per schedule),Deduct,24001.74,Deduct
CT-9643,2025-07-02,Bad Debts Written Off (realized),Deduct,64021.74,Deduct
CT-9644,2025-07-21,Related Party Management Fee,Transfer Pricing Adj.,17589.96,Add
CT-9645,2025-07-05,Bad Debts Written Off (realized),Deduct,51201.42,Deduct
CT-9646,2025-07-04,Bad Debts Written Off (realized),Deduct,49647.54,Deduct
CT-9647,2025-07-12,Entertainment Expense,Disallowed 50%,2012.29,Add
CT-9648,2025-07-22,UAE Government Grant Income,Exempt Income,57723.01,Add
CT-9649,2025-08-14,Exempt Dividend Income,Exempt Income,33913.98,Add
CT-9650,2025-08-15,Interest Income - Related Party,Related Party Adj.,1682.23,Deduct
CT-9651,2025-08-06,Client Entertainment,Disallowed 50%,52877.99,Add
CT-9652,2025-08-03,Client Entertainment,Disallowed 50%,47905.31,Add
CT-9653,2025-08-23,Provision for Doubtful Debts (unrealized),Add Back,31667.06,Add
CT-9654,2025-08-06,Interest Income - Related Party,Related Party Adj.,14973.53,Deduct
CT-9655,2025-08-26,Donations - Non Qualifying,Fully Disallowed,25770.87,Add
CT-9656,2025-08-08,Donations - Non Qualifying,Fully Disallowed,39694.25,Add
CT-9657,2025-08-01,UAE Government Grant Income,Exempt Income,62616.38,Add
CT-9658,2025-08-09,Related Party Management Fee,Transfer Pricing Adj.,59025.09,Add
CT-9659,2025-08-19,Exempt Dividend Income,Exempt Income,20244.76,Add
CT-9660,2025-08-03,UAE Government Grant Income,Exempt Income,22758.17,Add
CT-9661,2025-08-27,Provision for Doubtful Debts (unrealized),Add Back,23501.33,Add
CT-9662,2025-08-19,Entertainment Expense,Disallowed 50%,61109.57,Add
CT-9663,2025-08-28,Depreciation - Accounting,Add Back,14024.97,Add
CT-9664,2025-08-08,Client Entertainment,Disallowed 50%,48466.54,Add
CT-9665,2025-08-06,Entertainment Expense,Disallowed 50%,11335.73,Add
CT-9666,2025-08-14,Provision for Doubtful Debts (unrealized),Add Back,46946.37,Add
CT-9667,2025-08-11,UAE Government Grant Income,Exempt Income,36633.32,Add
CT-9668,2025-08-11,Related Party Management Fee,Transfer Pricing Adj.,63268.73,Add
CT-9669,2025-08-01,UAE Government Grant Income,Exempt Income,8839.53,Add
CT-9670,2025-08-10,Fines & Penalties,Fully Disallowed,49429.48,Add
CT-9671,2025-08-21,Client Entertainment,Disallowed 50%,58436.9,Add
CT-9672,2025-08-10,Client Entertainment,Disallowed 50%,22979.09,Add
CT-9673,2025-08-25,Exempt Dividend Income,Exempt Income,35044.21,Add
CT-9674,2025-08-20,Depreciation - Tax (per schedule),Deduct,8052.0,Deduct
CT-9675,2025-08-13,Donations - Non Qualifying,Fully Disallowed,14159.03,Add
CT-9676,2025-08-08,Depreciation - Tax (per schedule),Deduct,49606.43,Deduct
CT-9677,2025-08-08,Provision for Doubtful Debts (unrealized),Add Back,15005.0,Add
CT-9678,2025-08-23,Entertainment Expense,Disallowed 50%,22494.66,Add
CT-9679,2025-08-07,Depreciation - Tax (per schedule),Deduct,48043.53,Deduct
CT-9680,2025-08-02,Bad Debts Written Off (realized),Deduct,48087.06,Deduct
CT-9681,2025-08-18,Entertainment Expense,Disallowed 50%,39912.99,Add
