BU,Region,Month,FY,Revenue_Budget,Revenue_Actual,DirectCost_Budget,DirectCost_Actual,Salaries_Budget,Salaries_Actual,Marketing_Budget,Marketing_Actual,Travel_Budget,Travel_Actual,ITSoftware_Budget,ITSoftware_Actual,Facilities_Budget,Facilities_Actual,ProfFees_Budget,ProfFees_Actual,DA_Budget,DA_Actual
Healthcare & Life Sciences,KSA,2023-07,FY23,204877.0,194915.0,112535.0,103533.0,30869.0,30413.0,5226.0,5355.0,1973.0,2379.0,3876.0,3845.0,3963.0,4056.0,2119.0,2703.0,4452.0,4539.0
Healthcare & Life Sciences,KSA,2023-08,FY23,200480.0,198663.0,119177.0,120036.0,29874.0,31379.0,5743.0,5017.0,1682.0,1994.0,4306.0,4595.0,3074.0,3187.0,2249.0,2105.0,5318.0,5351.0
Healthcare & Life Sciences,KSA,2023-09,FY23,224738.0,217497.0,126516.0,121404.0,31741.0,32674.0,4999.0,5003.0,2145.0,1770.0,5689.0,5636.0,3498.0,3531.0,2029.0,1894.0,5146.0,5113.0
Healthcare & Life Sciences,KSA,2023-10,FY23,186539.0,196376.0,107127.0,109333.0,28349.0,27764.0,5135.0,5557.0,1663.0,1443.0,4401.0,4435.0,3212.0,3114.0,1809.0,2246.0,4190.0,4082.0
Healthcare & Life Sciences,KSA,2023-11,FY23,196589.0,200845.0,117059.0,116476.0,31484.0,32006.0,4959.0,4692.0,2390.0,1941.0,4138.0,4543.0,3328.0,3491.0,1701.0,1510.0,4020.0,4097.0
Healthcare & Life Sciences,KSA,2023-12,FY23,218220.0,221575.0,127760.0,134740.0,31286.0,30535.0,7471.0,8427.0,3073.0,3719.0,3958.0,4136.0,2813.0,2799.0,1339.0,1239.0,5538.0,5440.0
Healthcare & Life Sciences,KSA,2024-01,FY23,197348.0,203234.0,112287.0,118989.0,28466.0,29800.0,4001.0,4101.0,2495.0,2050.0,3888.0,3776.0,3614.0,3657.0,1247.0,1487.0,3963.0,3937.0
Healthcare & Life Sciences,KSA,2024-02,FY23,212308.0,203702.0,123055.0,122796.0,29845.0,31797.0,6314.0,5805.0,2264.0,2917.0,4033.0,3939.0,4020.0,4033.0,1511.0,1663.0,5219.0,5353.0
Healthcare & Life Sciences,KSA,2024-03,FY23,216343.0,223106.0,123697.0,126823.0,32841.0,32423.0,5452.0,5210.0,2678.0,2459.0,6011.0,6072.0,4001.0,4051.0,2439.0,3254.0,6090.0,5918.0
Healthcare & Life Sciences,KSA,2024-04,FY24,199492.0,204897.0,109542.0,117603.0,31860.0,31212.0,5134.0,5843.0,2451.0,2727.0,4045.0,3896.0,2638.0,2762.0,2286.0,2280.0,5072.0,4983.0
Healthcare & Life Sciences,KSA,2024-05,FY24,205283.0,204269.0,120708.0,124836.0,30643.0,32101.0,5719.0,5093.0,3073.0,3958.0,3993.0,4344.0,3970.0,3898.0,1918.0,2626.0,4349.0,4301.0
Healthcare & Life Sciences,KSA,2024-06,FY24,215484.0,209768.0,126258.0,127944.0,32844.0,33344.0,5742.0,6489.0,3073.0,3892.0,4469.0,4738.0,2770.0,2683.0,2279.0,2660.0,4885.0,4905.0
Healthcare & Life Sciences,KSA,2024-07,FY24,203162.0,209908.0,118086.0,121580.0,32637.0,33369.0,5594.0,5770.0,2638.0,2604.0,5388.0,5434.0,2661.0,2579.0,1258.0,1583.0,4094.0,4037.0
Healthcare & Life Sciences,KSA,2024-08,FY24,217749.0,211595.0,130496.0,130593.0,30917.0,33142.0,7574.0,8408.0,2489.0,2396.0,4916.0,4741.0,3318.0,3166.0,2267.0,2331.0,5036.0,5070.0
Healthcare & Life Sciences,KSA,2024-09,FY24,241249.0,238564.0,137877.0,142018.0,39470.0,40546.0,6459.0,7093.0,2002.0,2598.0,5594.0,5545.0,4314.0,4339.0,2195.0,2587.0,4944.0,4882.0
Healthcare & Life Sciences,KSA,2024-10,FY24,212616.0,217722.0,125371.0,129049.0,32461.0,33676.0,4426.0,4449.0,1913.0,2324.0,4787.0,5027.0,2744.0,2820.0,2472.0,3010.0,4540.0,4516.0
Healthcare & Life Sciences,KSA,2024-11,FY24,211336.0,219806.0,121607.0,129916.0,30867.0,31485.0,5019.0,5308.0,3033.0,3634.0,5322.0,5015.0,2729.0,2715.0,1728.0,1925.0,5038.0,5126.0
Healthcare & Life Sciences,KSA,2024-12,FY24,258809.0,245556.0,145637.0,137941.0,42198.0,45167.0,7371.0,7724.0,2342.0,2891.0,5121.0,5368.0,3974.0,3898.0,2746.0,2932.0,6797.0,6641.0
Healthcare & Life Sciences,KSA,2025-01,FY24,213799.0,221705.0,123438.0,126374.0,32874.0,34981.0,6019.0,5127.0,3031.0,2785.0,5107.0,5136.0,3267.0,3130.0,2053.0,1944.0,5446.0,5485.0
Healthcare & Life Sciences,KSA,2025-02,FY24,233556.0,224783.0,126806.0,119213.0,37275.0,36307.0,7662.0,8046.0,3239.0,3075.0,6354.0,5902.0,3582.0,3467.0,2343.0,2733.0,6286.0,6322.0
Healthcare & Life Sciences,KSA,2025-03,FY24,244055.0,253883.0,138457.0,146305.0,40988.0,40178.0,5977.0,5741.0,2600.0,2168.0,5436.0,5540.0,3500.0,3372.0,2481.0,2393.0,6167.0,6176.0
Healthcare & Life Sciences,KSA,2025-04,FY25,237627.0,234474.0,129877.0,132019.0,37752.0,40719.0,6477.0,6844.0,3454.0,4467.0,4960.0,5107.0,3453.0,3462.0,2844.0,2879.0,5061.0,5080.0
Healthcare & Life Sciences,KSA,2025-05,FY25,241127.0,237371.0,137334.0,132583.0,38166.0,39996.0,8364.0,7113.0,1970.0,2192.0,4625.0,4961.0,4436.0,4657.0,2046.0,2047.0,6174.0,6225.0
Healthcare & Life Sciences,KSA,2025-06,FY25,226979.0,235421.0,126404.0,135698.0,33873.0,34745.0,5642.0,4806.0,2906.0,2821.0,5730.0,5907.0,2777.0,2687.0,1812.0,1817.0,6066.0,6217.0
Healthcare & Life Sciences,KSA,2025-07,FY25,245185.0,240973.0,139483.0,139825.0,40887.0,42075.0,6136.0,6659.0,2672.0,3130.0,6461.0,6292.0,4364.0,4283.0,2259.0,2089.0,6584.0,6702.0
Healthcare & Life Sciences,KSA,2025-08,FY25,243192.0,247541.0,145472.0,146594.0,34274.0,36954.0,7149.0,7883.0,2918.0,2903.0,5825.0,6266.0,4380.0,4470.0,1918.0,1571.0,5870.0,5869.0
Healthcare & Life Sciences,KSA,2025-09,FY25,271932.0,273510.0,162355.0,160783.0,40537.0,39821.0,8640.0,9360.0,3914.0,4000.0,4963.0,4997.0,4351.0,4216.0,3139.0,3891.0,6863.0,6976.0
Healthcare & Life Sciences,KSA,2025-10,FY25,258084.0,247061.0,152096.0,152246.0,41371.0,40734.0,7967.0,7870.0,3354.0,3559.0,4656.0,5065.0,4516.0,4559.0,1683.0,1818.0,5281.0,5288.0
Healthcare & Life Sciences,KSA,2025-11,FY25,245847.0,251506.0,141277.0,143424.0,40998.0,41215.0,5627.0,5250.0,2516.0,2568.0,4714.0,4464.0,3488.0,3319.0,2394.0,2654.0,5425.0,5376.0
Healthcare & Life Sciences,KSA,2025-12,FY25,266807.0,278799.0,155351.0,160707.0,39313.0,38442.0,7790.0,7413.0,2963.0,2563.0,6058.0,6310.0,3428.0,3275.0,2284.0,2072.0,6927.0,6966.0
Healthcare & Life Sciences,KSA,2026-01,FY25,265114.0,258920.0,152965.0,148258.0,43617.0,45729.0,7970.0,8050.0,3928.0,4627.0,6007.0,5669.0,4905.0,5111.0,2336.0,2507.0,7117.0,7207.0
Healthcare & Life Sciences,KSA,2026-02,FY25,253129.0,261550.0,140089.0,150779.0,40123.0,42948.0,6551.0,6943.0,3204.0,3827.0,6790.0,6801.0,3099.0,3091.0,2053.0,2211.0,5495.0,5583.0
Healthcare & Life Sciences,KSA,2026-03,FY25,280160.0,293273.0,153017.0,166302.0,45919.0,46187.0,8332.0,9063.0,3286.0,3287.0,6201.0,6398.0,4590.0,4808.0,2326.0,2336.0,7883.0,7926.0
Healthcare & Life Sciences,India,2023-04,FY23,218056.0,216897.0,120840.0,123046.0,31037.0,33284.0,6239.0,6214.0,2648.0,2731.0,5135.0,5484.0,2924.0,3057.0,1399.0,1210.0,6136.0,6236.0
Healthcare & Life Sciences,India,2023-05,FY23,217915.0,218064.0,126306.0,123018.0,35849.0,38272.0,7311.0,7610.0,1744.0,1523.0,4248.0,4314.0,3295.0,3321.0,1563.0,1890.0,5048.0,5069.0
Healthcare & Life Sciences,India,2023-06,FY23,218694.0,223946.0,130473.0,133995.0,37064.0,37356.0,4667.0,3978.0,3260.0,3267.0,4215.0,4101.0,3270.0,3286.0,1382.0,1689.0,6169.0,6117.0
Healthcare & Life Sciences,India,2023-07,FY23,239588.0,229516.0,132759.0,130646.0,36376.0,36558.0,6167.0,5948.0,2831.0,3203.0,5450.0,5199.0,3612.0,3765.0,2645.0,2361.0,7182.0,7255.0
Healthcare & Life Sciences,India,2023-08,FY23,216740.0,228482.0,117244.0,127267.0,33508.0,34113.0,7554.0,6613.0,2708.0,2729.0,4890.0,5193.0,3649.0,3622.0,1534.0,1696.0,5531.0,5514.0
Healthcare & Life Sciences,India,2023-09,FY23,235937.0,245182.0,135964.0,143473.0,39025.0,38871.0,6494.0,6320.0,2790.0,2744.0,6555.0,6701.0,4162.0,4001.0,2097.0,2546.0,5054.0,5124.0
Healthcare & Life Sciences,India,2023-10,FY23,250053.0,236336.0,146714.0,139433.0,35594.0,38011.0,5333.0,5289.0,3299.0,4223.0,4696.0,4856.0,4597.0,4511.0,1579.0,1589.0,6948.0,6935.0
Healthcare & Life Sciences,India,2023-11,FY23,238004.0,238886.0,139001.0,139767.0,40179.0,42502.0,5793.0,4985.0,3442.0,4043.0,6014.0,6143.0,2973.0,2965.0,1669.0,1387.0,7117.0,7249.0
Healthcare & Life Sciences,India,2023-12,FY23,252491.0,259120.0,137595.0,142576.0,41798.0,41822.0,5552.0,5187.0,3536.0,2854.0,4826.0,4592.0,4225.0,4078.0,2192.0,2816.0,5709.0,5778.0
Healthcare & Life Sciences,India,2024-01,FY23,253681.0,244884.0,150108.0,144203.0,36158.0,35650.0,8627.0,7732.0,2910.0,3774.0,6521.0,6279.0,3938.0,3992.0,1843.0,2286.0,5949.0,6000.0
Healthcare & Life Sciences,India,2024-02,FY23,238412.0,249929.0,131140.0,137459.0,35533.0,37383.0,7459.0,7532.0,2541.0,2929.0,5423.0,5131.0,4521.0,4300.0,2757.0,2948.0,6386.0,6563.0
Healthcare & Life Sciences,India,2024-03,FY23,256764.0,271730.0,152791.0,164922.0,43312.0,44070.0,8671.0,9603.0,2656.0,2479.0,4874.0,5058.0,3885.0,3991.0,2695.0,3343.0,6647.0,6525.0
Healthcare & Life Sciences,India,2024-04,FY24,261115.0,255286.0,143821.0,142494.0,41826.0,44398.0,5269.0,4633.0,2279.0,2331.0,5273.0,5120.0,3537.0,3369.0,1711.0,2332.0,6937.0,7077.0
Healthcare & Life Sciences,India,2024-05,FY24,266907.0,262556.0,155469.0,149259.0,44225.0,43530.0,7966.0,8922.0,3193.0,4098.0,7196.0,7521.0,3744.0,3732.0,3101.0,3669.0,7801.0,7696.0
Healthcare & Life Sciences,India,2024-06,FY24,277282.0,264479.0,162541.0,154023.0,40167.0,39289.0,8778.0,8469.0,2864.0,2377.0,7641.0,7394.0,4305.0,4301.0,3209.0,3742.0,6040.0,6037.0
Healthcare & Life Sciences,India,2024-07,FY24,271883.0,263390.0,150379.0,148886.0,45507.0,47723.0,5859.0,5108.0,3262.0,3018.0,6106.0,6603.0,3586.0,3636.0,3153.0,3780.0,6162.0,6236.0
Healthcare & Life Sciences,India,2024-08,FY24,272825.0,270403.0,155762.0,161679.0,42212.0,42970.0,8911.0,9662.0,3683.0,3941.0,4920.0,5371.0,5059.0,5050.0,2565.0,3491.0,6436.0,6506.0
Healthcare & Life Sciences,India,2024-09,FY24,295309.0,290695.0,176456.0,169203.0,46080.0,49568.0,6263.0,6187.0,3947.0,4436.0,5837.0,5411.0,4451.0,4313.0,3005.0,4020.0,7768.0,7702.0
Healthcare & Life Sciences,India,2024-10,FY24,274634.0,270326.0,160419.0,154388.0,40040.0,42009.0,7935.0,7909.0,2318.0,2481.0,5789.0,5882.0,5129.0,5103.0,3289.0,2704.0,5647.0,5745.0
Healthcare & Life Sciences,India,2024-11,FY24,255825.0,268109.0,150534.0,161346.0,39333.0,41087.0,8471.0,7579.0,3084.0,3893.0,4699.0,4443.0,4408.0,4395.0,2944.0,2436.0,6911.0,6758.0
Healthcare & Life Sciences,India,2024-12,FY24,270163.0,285586.0,150870.0,165104.0,41520.0,41054.0,7798.0,8541.0,2362.0,2477.0,7022.0,6739.0,4981.0,4944.0,2936.0,4079.0,7236.0,7160.0
Healthcare & Life Sciences,India,2025-01,FY24,277709.0,275200.0,152251.0,156881.0,45487.0,47946.0,8025.0,7629.0,2456.0,2138.0,6152.0,6431.0,4562.0,4534.0,3209.0,2646.0,5832.0,5954.0
Healthcare & Life Sciences,India,2025-02,FY24,288583.0,279278.0,156105.0,152286.0,40457.0,40042.0,6158.0,6438.0,4100.0,4133.0,7525.0,7969.0,5061.0,4912.0,2839.0,3162.0,6961.0,7144.0
Healthcare & Life Sciences,India,2025-03,FY24,285968.0,302767.0,157511.0,168276.0,48188.0,50067.0,9076.0,8662.0,2297.0,2108.0,5483.0,5568.0,3651.0,3601.0,3022.0,3396.0,6346.0,6449.0
Healthcare & Life Sciences,India,2025-04,FY25,280401.0,288131.0,154676.0,164654.0,45020.0,48466.0,7603.0,6865.0,3559.0,2924.0,6855.0,6658.0,4340.0,4268.0,3037.0,3812.0,5729.0,5812.0
Healthcare & Life Sciences,India,2025-05,FY25,284524.0,296038.0,167052.0,175072.0,40824.0,43619.0,8769.0,9013.0,2925.0,2631.0,7047.0,6896.0,5187.0,5097.0,1875.0,2330.0,8166.0,8105.0
Healthcare & Life Sciences,India,2025-06,FY25,294708.0,295738.0,167708.0,175547.0,42541.0,45607.0,7906.0,7639.0,2639.0,3061.0,7167.0,7852.0,4013.0,3863.0,2992.0,2501.0,6296.0,6429.0
Healthcare & Life Sciences,India,2025-07,FY25,286513.0,298282.0,160623.0,174476.0,45300.0,47875.0,8472.0,8755.0,2633.0,3384.0,7607.0,7117.0,5402.0,5396.0,3431.0,3963.0,8128.0,8020.0
Healthcare & Life Sciences,India,2025-08,FY25,312738.0,304119.0,173507.0,167619.0,49220.0,52572.0,9031.0,8080.0,3758.0,3016.0,8695.0,8062.0,4930.0,5062.0,1940.0,2170.0,7754.0,7893.0
Healthcare & Life Sciences,India,2025-09,FY25,330568.0,332465.0,183277.0,186963.0,46403.0,48746.0,11322.0,10074.0,3329.0,3741.0,6250.0,6290.0,4773.0,4870.0,3685.0,4600.0,6692.0,6674.0
Healthcare & Life Sciences,India,2025-10,FY25,332079.0,317808.0,187399.0,185541.0,50181.0,51238.0,9797.0,10856.0,2821.0,3517.0,7083.0,6558.0,5116.0,4998.0,3878.0,4365.0,9280.0,9440.0
Healthcare & Life Sciences,India,2025-11,FY25,330120.0,315692.0,192838.0,178961.0,55579.0,58036.0,10999.0,9715.0,3486.0,3868.0,7149.0,6803.0,5437.0,5202.0,3386.0,3125.0,9842.0,9688.0
Healthcare & Life Sciences,India,2025-12,FY25,334605.0,335471.0,199541.0,203079.0,56472.0,56081.0,10431.0,9572.0,3503.0,3271.0,8299.0,8049.0,4185.0,4120.0,2984.0,3330.0,7103.0,7192.0
Healthcare & Life Sciences,India,2026-01,FY25,320754.0,319494.0,178832.0,181659.0,52603.0,56495.0,10306.0,11669.0,2713.0,3380.0,7242.0,6767.0,6153.0,6023.0,3766.0,3260.0,7300.0,7386.0
Healthcare & Life Sciences,India,2026-02,FY25,337253.0,322730.0,192653.0,188024.0,50182.0,54029.0,9484.0,8437.0,3517.0,3594.0,8245.0,8018.0,4217.0,4374.0,2494.0,3413.0,8919.0,8872.0
Healthcare & Life Sciences,India,2026-03,FY25,352210.0,346143.0,197089.0,197041.0,56673.0,60221.0,9397.0,8845.0,3143.0,3755.0,6945.0,6714.0,5591.0,5854.0,3740.0,3098.0,8288.0,8266.0
Healthcare & Life Sciences,UK,2023-04,FY23,113501.0,116503.0,67918.0,72274.0,18249.0,19039.0,2531.0,2332.0,941.0,902.0,2187.0,2115.0,1530.0,1540.0,705.0,698.0,2660.0,2640.0
Healthcare & Life Sciences,UK,2023-05,FY23,112561.0,117311.0,62820.0,68523.0,17125.0,17552.0,2497.0,2466.0,1153.0,925.0,2857.0,3130.0,1649.0,1683.0,995.0,969.0,3314.0,3410.0
Healthcare & Life Sciences,UK,2023-06,FY23,113275.0,118284.0,65010.0,70883.0,17361.0,18156.0,3509.0,3930.0,1017.0,1094.0,2388.0,2370.0,2121.0,2110.0,743.0,619.0,2992.0,3007.0
Healthcare & Life Sciences,UK,2023-07,FY23,123741.0,117593.0,68884.0,63242.0,19322.0,19689.0,3721.0,3260.0,1433.0,1286.0,2621.0,2697.0,2419.0,2518.0,1011.0,899.0,3531.0,3503.0
Healthcare & Life Sciences,UK,2023-08,FY23,114579.0,117618.0,64288.0,69390.0,19046.0,18658.0,3543.0,3484.0,1713.0,2059.0,2393.0,2549.0,2264.0,2247.0,1304.0,1152.0,2964.0,2890.0
Healthcare & Life Sciences,UK,2023-09,FY23,128319.0,128711.0,75971.0,79979.0,18219.0,19597.0,4022.0,3525.0,1394.0,1753.0,2842.0,2899.0,2269.0,2327.0,875.0,798.0,3056.0,3066.0
Healthcare & Life Sciences,UK,2023-10,FY23,119850.0,115335.0,70721.0,67502.0,18790.0,19184.0,2445.0,2080.0,1179.0,1507.0,3157.0,3173.0,2065.0,2146.0,1019.0,1116.0,3221.0,3172.0
Healthcare & Life Sciences,UK,2023-11,FY23,111131.0,114184.0,66641.0,66569.0,18044.0,18656.0,3165.0,3515.0,1378.0,1430.0,2772.0,2610.0,1789.0,1802.0,1230.0,1104.0,2288.0,2263.0
Healthcare & Life Sciences,UK,2023-12,FY23,122731.0,128345.0,67477.0,69747.0,18727.0,20044.0,3110.0,2914.0,1437.0,1822.0,2840.0,3005.0,1653.0,1586.0,1291.0,1454.0,3525.0,3594.0
Healthcare & Life Sciences,UK,2024-01,FY23,115201.0,118018.0,66946.0,70285.0,16459.0,17015.0,3727.0,3182.0,1339.0,1321.0,2632.0,2583.0,2222.0,2134.0,798.0,744.0,2521.0,2581.0
Healthcare & Life Sciences,UK,2024-02,FY23,123926.0,119186.0,70829.0,68907.0,19399.0,20431.0,2690.0,2658.0,1058.0,1280.0,3375.0,3396.0,1796.0,1771.0,1351.0,1802.0,3219.0,3270.0
Healthcare & Life Sciences,UK,2024-03,FY23,134438.0,131135.0,72829.0,73757.0,19718.0,20985.0,2976.0,2732.0,1193.0,1032.0,2526.0,2638.0,2456.0,2352.0,1432.0,1796.0,2746.0,2681.0
Healthcare & Life Sciences,UK,2024-04,FY24,121298.0,121102.0,65932.0,64124.0,17902.0,17495.0,3641.0,3919.0,1635.0,2060.0,2433.0,2633.0,1635.0,1611.0,794.0,1038.0,3568.0,3664.0
Healthcare & Life Sciences,UK,2024-05,FY24,116077.0,121006.0,66168.0,70966.0,17093.0,17652.0,2494.0,2552.0,940.0,854.0,2312.0,2244.0,2230.0,2238.0,1375.0,1181.0,2570.0,2571.0
Healthcare & Life Sciences,UK,2024-06,FY24,120696.0,122662.0,69444.0,70818.0,20365.0,20159.0,3056.0,2946.0,1147.0,1048.0,2309.0,2534.0,1568.0,1507.0,823.0,1035.0,3265.0,3276.0
Healthcare & Life Sciences,UK,2024-07,FY24,118553.0,121050.0,64842.0,65503.0,18733.0,18814.0,4107.0,4038.0,1408.0,1331.0,3148.0,3003.0,1489.0,1540.0,1050.0,1268.0,2584.0,2661.0
Healthcare & Life Sciences,UK,2024-08,FY24,115891.0,121655.0,65627.0,70464.0,16520.0,16285.0,3014.0,3096.0,1010.0,1275.0,3219.0,2999.0,2295.0,2258.0,1109.0,1546.0,2460.0,2510.0
Healthcare & Life Sciences,UK,2024-09,FY24,132305.0,135917.0,77109.0,80450.0,19606.0,20720.0,3924.0,3807.0,1499.0,1651.0,2917.0,2938.0,1883.0,1933.0,880.0,836.0,3304.0,3329.0
Healthcare & Life Sciences,UK,2024-10,FY24,116376.0,122250.0,63212.0,64375.0,18660.0,20095.0,2995.0,3156.0,1055.0,1172.0,2207.0,2061.0,2096.0,2152.0,1252.0,1153.0,3098.0,3096.0
Healthcare & Life Sciences,UK,2024-11,FY24,119446.0,121730.0,70662.0,72905.0,20136.0,19602.0,3160.0,3553.0,1276.0,1221.0,2600.0,2607.0,1465.0,1473.0,1333.0,1309.0,3232.0,3230.0
Healthcare & Life Sciences,UK,2024-12,FY24,136254.0,132816.0,77562.0,73675.0,21835.0,22765.0,4126.0,4215.0,1544.0,1895.0,3143.0,3113.0,2174.0,2276.0,1322.0,1337.0,4057.0,4013.0
Healthcare & Life Sciences,UK,2025-01,FY24,112451.0,118944.0,66370.0,69899.0,18246.0,17753.0,3753.0,3574.0,976.0,949.0,2426.0,2385.0,1944.0,1895.0,1112.0,1285.0,3273.0,3188.0
Healthcare & Life Sciences,UK,2025-02,FY24,116333.0,118645.0,62957.0,63770.0,17895.0,19058.0,3318.0,3718.0,1148.0,1318.0,2778.0,3049.0,1748.0,1729.0,1098.0,1411.0,2443.0,2469.0
Healthcare & Life Sciences,UK,2025-03,FY24,130552.0,130509.0,76490.0,76070.0,20685.0,20891.0,3465.0,3462.0,1819.0,2171.0,3447.0,3504.0,1867.0,1783.0,1564.0,1628.0,2906.0,2948.0
Healthcare & Life Sciences,UK,2025-04,FY25,122022.0,117182.0,66585.0,63574.0,17329.0,18336.0,3310.0,3022.0,1656.0,1864.0,2565.0,2731.0,1887.0,1895.0,879.0,915.0,3203.0,3194.0
Healthcare & Life Sciences,UK,2025-05,FY25,114485.0,119048.0,61950.0,66224.0,18991.0,19626.0,2655.0,3023.0,1511.0,1562.0,3134.0,3184.0,1937.0,1989.0,985.0,1123.0,3007.0,3011.0
Healthcare & Life Sciences,UK,2025-06,FY25,114001.0,119033.0,62590.0,67051.0,16987.0,17291.0,2825.0,3105.0,963.0,868.0,2522.0,2694.0,1957.0,1909.0,1095.0,1143.0,2409.0,2364.0
Healthcare & Life Sciences,UK,2025-07,FY25,123101.0,118450.0,69903.0,68208.0,18845.0,19621.0,2530.0,2271.0,1102.0,1024.0,3205.0,3329.0,1651.0,1709.0,1450.0,1583.0,2487.0,2541.0
Healthcare & Life Sciences,UK,2025-08,FY25,118528.0,117100.0,70172.0,72258.0,18041.0,18221.0,3539.0,3104.0,1731.0,2012.0,2300.0,2162.0,2119.0,2211.0,1082.0,1404.0,3496.0,3587.0
Healthcare & Life Sciences,UK,2025-09,FY25,134296.0,128372.0,74438.0,69372.0,22051.0,22188.0,3863.0,3735.0,1778.0,1632.0,2985.0,2824.0,1800.0,1885.0,1160.0,1105.0,3478.0,3476.0
Healthcare & Life Sciences,UK,2025-10,FY25,122867.0,116589.0,68681.0,65311.0,19718.0,21216.0,4078.0,4613.0,1295.0,1499.0,3221.0,2976.0,2425.0,2451.0,1358.0,1626.0,3613.0,3654.0
Healthcare & Life Sciences,UK,2025-11,FY25,114861.0,118565.0,65834.0,67419.0,19383.0,19575.0,3697.0,3278.0,1616.0,1986.0,2514.0,2725.0,1739.0,1822.0,865.0,739.0,3242.0,3191.0
Healthcare & Life Sciences,UK,2025-12,FY25,135838.0,129761.0,80817.0,78703.0,22601.0,23829.0,3545.0,3049.0,1911.0,2315.0,3723.0,3741.0,2079.0,2150.0,1400.0,1856.0,3831.0,3906.0
Healthcare & Life Sciences,UK,2026-01,FY25,119475.0,119384.0,67039.0,68194.0,19642.0,20647.0,3202.0,2748.0,999.0,1120.0,2903.0,3084.0,1564.0,1548.0,1167.0,1153.0,2488.0,2437.0
Healthcare & Life Sciences,UK,2026-02,FY25,126868.0,120099.0,74831.0,73020.0,20985.0,21938.0,4046.0,3827.0,1440.0,1681.0,2614.0,2728.0,2362.0,2433.0,912.0,956.0,2768.0,2831.0
Healthcare & Life Sciences,UK,2026-03,FY25,141589.0,135347.0,78365.0,78620.0,23744.0,24722.0,4163.0,4671.0,2098.0,1886.0,3542.0,3366.0,2153.0,2138.0,1071.0,914.0,3353.0,3443.0
Healthcare & Life Sciences,USA,2023-04,FY23,111252.0,105914.0,63105.0,61526.0,15971.0,16745.0,2543.0,2819.0,1499.0,1415.0,2552.0,2408.0,2097.0,2118.0,1332.0,1292.0,2978.0,2963.0
Healthcare & Life Sciences,USA,2023-05,FY23,101542.0,106048.0,56601.0,58380.0,16097.0,17221.0,2594.0,2737.0,1138.0,916.0,1963.0,1920.0,1781.0,1814.0,1044.0,1279.0,2778.0,2737.0
Healthcare & Life Sciences,USA,2023-06,FY23,99294.0,104846.0,55602.0,57845.0,16607.0,17930.0,3385.0,3859.0,1210.0,1421.0,1832.0,1769.0,1684.0,1651.0,831.0,850.0,2947.0,2958.0
Healthcare & Life Sciences,USA,2023-07,FY23,102662.0,105703.0,58540.0,63077.0,17076.0,16812.0,2542.0,2565.0,923.0,792.0,1893.0,1785.0,1948.0,2013.0,1077.0,1460.0,2344.0,2397.0
Healthcare & Life Sciences,USA,2023-08,FY23,110054.0,106705.0,61171.0,58845.0,18355.0,18441.0,3843.0,4147.0,997.0,1223.0,2704.0,2876.0,1368.0,1320.0,812.0,667.0,2487.0,2518.0
Healthcare & Life Sciences,USA,2023-09,FY23,123224.0,116312.0,73396.0,67190.0,18569.0,19460.0,3361.0,3354.0,1715.0,2115.0,2370.0,2220.0,2335.0,2260.0,864.0,955.0,2801.0,2867.0
Healthcare & Life Sciences,USA,2023-10,FY23,108937.0,107856.0,65177.0,65210.0,17117.0,17388.0,2304.0,2489.0,1388.0,1726.0,1989.0,2074.0,1900.0,1880.0,1039.0,1424.0,3091.0,3027.0
Healthcare & Life Sciences,USA,2023-11,FY23,110802.0,106573.0,64218.0,62055.0,18687.0,19348.0,2226.0,2540.0,1395.0,1779.0,2354.0,2476.0,1981.0,2072.0,1043.0,967.0,2270.0,2290.0
Healthcare & Life Sciences,USA,2023-12,FY23,109472.0,115640.0,59579.0,66127.0,16579.0,16809.0,2482.0,2828.0,1539.0,1300.0,2904.0,2757.0,1996.0,1953.0,1151.0,1372.0,2321.0,2320.0
Healthcare & Life Sciences,USA,2024-01,FY23,110496.0,106578.0,61724.0,61054.0,15905.0,16592.0,3589.0,3603.0,1263.0,1570.0,2515.0,2569.0,1700.0,1744.0,1201.0,1403.0,2690.0,2678.0
Healthcare & Life Sciences,USA,2024-02,FY23,103138.0,105135.0,58563.0,58773.0,16563.0,16349.0,2829.0,2939.0,1204.0,1138.0,2308.0,2500.0,1632.0,1575.0,698.0,937.0,2931.0,2935.0
Healthcare & Life Sciences,USA,2024-03,FY23,107768.0,113953.0,58690.0,60036.0,15435.0,15693.0,2308.0,2419.0,1291.0,1196.0,2214.0,2069.0,1727.0,1660.0,1074.0,975.0,2352.0,2337.0
Healthcare & Life Sciences,USA,2024-04,FY24,108234.0,103552.0,60379.0,58737.0,16630.0,17357.0,3177.0,2953.0,1598.0,1975.0,2151.0,2051.0,1946.0,1966.0,1215.0,1050.0,2743.0,2662.0
Healthcare & Life Sciences,USA,2024-05,FY24,98432.0,102468.0,55971.0,59761.0,16346.0,17592.0,2857.0,2846.0,1214.0,1562.0,2127.0,2215.0,1725.0,1707.0,769.0,673.0,1982.0,1936.0
Healthcare & Life Sciences,USA,2024-06,FY24,106682.0,100980.0,63107.0,58771.0,17011.0,17716.0,2831.0,2938.0,1443.0,1292.0,2241.0,2249.0,1685.0,1604.0,746.0,665.0,2883.0,2963.0
